Titel Geschäft;Link Dokument
Anzug Eric Weber betreffend Freikarten für Grossräte;https://grosserrat.bs.ch/?dnr=23.5615.01
Schriftliche Anfrage Brigitte Kühne betreffend Mehrkosten bei Werkleitungsumlegungen zugunsten von Bäumen;https://grosserrat.bs.ch/?dnr=23.5429.02
Interpellation Nr. 146 Joël Thüring betreffend Grüsel-Belag! Wird der millionenteure und bereits verdreckte Belag in der Freien Strasse einfach so akzeptiert?, Schriftliche Beantwortung;https://grosserrat.bs.ch/?dnr=23.5565.02
Anzug der Bau- und Raumplanungskommission betreffend Bahn-Anbindung der St. Jakobshalle bei Grossanlässen;https://grosserrat.bs.ch/?dnr=14.5675.05
Interpellation Nr. 140 Annina von Falkenstein betreffend Fehlleistungen der Staatskanzlei bei den National- und Ständeratswahlen;https://grosserrat.bs.ch/?dnr=23.5558.02
Interpellation Nr. 138 Eric Weber betreffend Bau-Sicherheit im Grossen Rat, Schriftliche Beantwortung;https://grosserrat.bs.ch/?dnr=23.5556.02
Schriftliche Anfrage Annina von Falkenstein betreffend Provisorium «internationaler Busbahnhof»;https://grosserrat.bs.ch/?dnr=23.5434.02
Schriftliche Anfrage Eric Weber betreffend möglicher Zugunfall in Basel;https://grosserrat.bs.ch/?dnr=23.5482.02
Rücktritt von Christian von Wartburg als Mitglied des Grossen Rates per 8. Dezember 2023;https://grosserrat.bs.ch/?dnr=23.5584.02
Motion Danielle Kaufmann und Konsorten betreffend Basel pro Klima: Pariser Klimaabkommen einhalten;https://grosserrat.bs.ch/?dnr=19.5145.03
Anzug Melanie Nussbaumer und Konsorten betreffend Neukonzipierung IWB-Dach Binningerstrasse neben Pruntrutermatte;https://grosserrat.bs.ch/?dnr=21.5702.02
Anzug Claudio Miozzari und Konsorten betreffend postpartale Depression;https://grosserrat.bs.ch/?dnr=21.5706.02
Schriftliche Anfrage Brigitte KIühne betreffend CO2 negativem Asphalt - flächendeckender Einsatz;https://grosserrat.bs.ch/?dnr=23.5428.02
Interpellation Nr. 137 Christian C. Moesch betreffend Darlehen des Kantons sowie Gesamtfinanzierung zur baulichen Entwicklung des Universitätsspitals Basel (Campus Gesundheit);https://grosserrat.bs.ch/?dnr=23.5555.02
Schriftliche Anfrage Eric Weber betreffend Wasser (Regenwasser sammeln und mit Köpfchen spülen);https://grosserrat.bs.ch/?dnr=23.5485.02
Anzug Remo Gallacchi und Konsorten betreffend ein System und eine Plattform für den ganzen Kanton Basel-Stadt;https://grosserrat.bs.ch/?dnr=19.5400.03
Anzug Sarah Wyss und Georg Mattmüller betreffend gesetzliche Verankerung der Betreuung;https://grosserrat.bs.ch/?dnr=21.5028.03
Investitionsbeitrag an die Erweiterung der Bibliothek Bläsi (Zweigstelle der GGG Stadtbibliothek Basel);https://grosserrat.bs.ch/?dnr=22.1229.01
Motion Aeneas Wanner und Konsorten betreffend Anpassung der Zielsetzungen des Energiegesetzes an das Pariser Klimaabkommen;https://grosserrat.bs.ch/?dnr=19.5094.03
Interpellation Nr. 139 Andrea Strahm betreffend Erschliessung von Grossbasel mit Fernwärme bis zur Kantons- resp. Landesgrenze;https://grosserrat.bs.ch/?dnr=23.5557.02
Motion der Umwelt, Verkehrs- und Energiekommission betreffend einem raschen Ausbau der Ladeinfrastruktur für E-Autos in Basel-Stadt;https://grosserrat.bs.ch/?dnr=21.5234.04/23.0896.02
Förderung der Ladeinfrastruktur in Parkhäusern und Parkierungsanlagen (Mit Teilrevisionen des Umweltschutzgesetzes Basel-Stadt und des Energiegesetzes);https://grosserrat.bs.ch/?dnr=23.0896.02
Interpellation Nr. 136, Beat K. Schaller betreffend das traurige Bestattungswesen von Basel, Schriftliche Beantwortung;https://grosserrat.bs.ch/?dnr=23.5541.02
Interpellation Nr. 151 Fina Girard betreffend Unterbringung von Jugendlichen im Gefängnis durch die KESB;https://grosserrat.bs.ch/?dnr=23.5609.01
Anzug Nora Bertschi und Konsorten betreffend die Gleichstellung von Menschen unabhängig ihrer sexuellen Orientierung;https://grosserrat.bs.ch/?dnr=17.5022.05 21.0829.02
Kantonales Gleichstellungsgesetz zu Geschlecht und sexueller Orientierung (Kantonales Gleichstellungsgesetz);https://grosserrat.bs.ch/?dnr=21.0829.02
Interpellation Nr. 152 Bruno Lötscher-Steiger betreffend Stopp der geplanten Verdoppelung der Studiengebühren an der Universität für Langzeitstudierende;https://grosserrat.bs.ch/?dnr=23.5610.01
Bericht der Finanzkommission zum Budget 2024 und Mitbericht der Bildungs- und Kulturkommission zum Budget 2024 der fünf kantonalen Museen, Bericht FKom, Mitbericht BKK;https://grosserrat.bs.ch/?dnr=23.5583.01
Schriftliche Anfrage Eric Weber betreffend wie viele städtische Mitarbeiter spart die Digitalisierung?;https://grosserrat.bs.ch/?dnr=23.5481.02
Schriftliche Anfrage Pascal Messerli betreffend Zusammensetzung der Freizeitgartenkommission sowie irreführende Informationen auf der Homepage der Stadtgärtnerei;https://grosserrat.bs.ch/?dnr=23.5443.02
Anzug Thomas Grossenbacher und Konsorten für eine mehrstufigen Trinkwasseraufbereitungsanlage nach dem Vorbild der Gemeinde Muttenz für das gesamte Basler Trinkwasser;https://grosserrat.bs.ch/?dnr=21.5027.03
Schriftliche Anfrage Brigitte Kühne betreffend Anreize für Fassadenbegrünungsaktion für Private;https://grosserrat.bs.ch/?dnr=23.5427.02
Wahl eines Mitglieds der Petitionskommission (Nachfolge Anouk Feurer, GAB);https://grosserrat.bs.ch/?dnr=23.5632.01
